From;To;Type;Through;Data;Comment
#
# American Straits
#


#
# African Straits
#


#
# European Straits
#


#
# Asian Straits
#


#
# Oceanian Straits
#


#
# Impassables
#
1326;1589;impassable;0;0;scary mountain
1326;1592;impassable;0;0;scary mountain
1328;1589;impassable;0;0;scary mountain
1329;1589;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1593;impassable;0;0;scary mountain
1258;1593;impassable;0;0;scary mountain
1260;1593;impassable;0;0;scary mountain
1259;1593;impassable;0;0;scary mountain
1238;1592;impassable;0;0;scary mountain
1244;1592;impassable;0;0;scary mountain
1235;1592;impassable;0;0;scary mountain
1226;1592;impassable;0;0;scary mountain
1327;1592;impassable;0;0;scary mountain
1328;1592;impassable;0;0;scary mountain
1225;1594;impassable;0;0;scary mountain
1226;1594;impassable;0;0;scary mountain
1210;1594;impassable;0;0;scary mountain
1208;1594;impassable;0;0;scary mountain

#Alps



#Alaskan Panhandle



#Siberia



#
# The canals
#
2711;2721;canal;369;1;Kiel Canal
2781;2769;canal;1755;2;Suez Canal
2968;3001;canal;1723;3;Panama Canal
2773;2774;canal;860;4;Bosphorus Strait
2772;2773;canal;859;5;Dardanelles Strait
#2724;2723;canal;301;6;English Channel
